student_id,group,pretest,posttest,delayed,cards_reviewed,review_regularity,mcq_accuracy,maps_completed,time_on_task_min,usability,engagement,usefulness,bilingual_design
S036,Experimental,9.87,12.91,11.81,131.0,0.538,0.688,2.0,139.0,3.54,3.72,4.05,5.0
S037,Experimental,12.04,17.13,16.7,157.0,0.716,0.852,5.0,343.0,3.53,4.0,5.0,4.51
S038,Experimental,12.8,18.65,17.9,198.0,0.858,0.855,6.0,403.0,4.64,4.22,4.06,4.63
S039,Experimental,8.79,10.47,9.97,86.0,0.4,0.908,6.0,196.0,3.35,2.22,3.93,5.0
S040,Experimental,10.5,15.39,15.99,126.0,0.526,0.763,6.0,239.0,4.43,3.59,4.65,5.0
S041,Experimental,7.27,14.11,13.49,255.0,0.852,0.954,8.0,362.0,4.88,3.78,3.73,4.18
S042,Experimental,10.54,15.56,15.24,147.0,0.271,0.688,2.0,177.0,4.22,3.89,4.07,4.32
S043,Experimental,9.97,15.27,13.87,149.0,0.601,0.805,8.0,234.0,3.95,3.55,3.68,3.78
S044,Experimental,7.46,12.28,11.44,124.0,0.651,0.852,5.0,215.0,4.37,4.11,3.48,4.37
S045,Experimental,10.1,15.15,15.66,230.0,0.892,0.774,8.0,160.0,3.52,3.82,3.66,4.76
S046,Experimental,14.09,17.34,16.33,193.0,0.51,0.806,9.0,174.0,3.46,3.75,3.94,4.81
S047,Experimental,10.06,15.95,15.67,273.0,0.934,0.755,10.0,435.0,4.32,2.99,4.47,3.88
S048,Experimental,10.04,15.46,15.39,137.0,0.856,0.824,5.0,408.0,3.88,4.02,4.33,4.09
S049,Experimental,10.58,14.37,12.34,117.0,0.388,0.939,10.0,227.0,3.13,3.81,4.06,4.31
S050,Experimental,6.94,11.59,12.14,115.0,0.524,0.773,3.0,170.0,4.41,2.96,4.28,4.2
S051,Experimental,13.75,20.0,20.0,121.0,0.42,0.673,4.0,224.0,3.94,2.98,4.19,3.95
S052,Experimental,8.71,11.38,12.03,227.0,0.886,0.556,10.0,377.0,3.74,3.21,4.62,4.57
S053,Experimental,14.98,20.0,19.35,190.0,0.743,0.914,5.0,257.0,3.86,4.47,4.95,4.17
S054,Experimental,8.52,12.7,11.04,91.0,0.593,0.708,1.0,220.0,3.64,3.88,4.76,4.28
S055,Experimental,7.13,12.94,13.01,119.0,0.614,0.755,6.0,241.0,4.45,3.38,4.19,4.29
S056,Experimental,6.7,11.93,11.45,111.0,0.525,0.886,1.0,166.0,3.64,4.88,4.34,4.78
S057,Experimental,6.88,11.95,11.1,167.0,0.608,0.81,6.0,297.0,4.5,3.03,3.08,4.9
S058,Experimental,12.23,14.25,13.37,198.0,0.857,0.843,5.0,237.0,4.11,3.82,3.69,5.0
S059,Experimental,13.61,16.62,15.05,155.0,0.588,0.9,6.0,269.0,4.42,4.2,3.31,4.44
S060,Experimental,8.22,15.39,13.03,234.0,0.828,0.936,7.0,331.0,3.55,4.24,4.23,3.75
S061,Control,9.38,10.68,7.28,,,,,,,,,
S062,Control,11.56,12.97,11.12,,,,,,,,,
S063,Control,9.6,10.74,10.22,,,,,,,,,
S064,Control,9.15,9.58,9.23,,,,,,,,,
S065,Control,10.68,12.58,12.77,,,,,,,,,
S066,Control,9.22,11.91,9.25,,,,,,,,,
S067,Control,11.86,13.31,12.56,,,,,,,,,
S068,Control,7.01,8.86,6.88,,,,,,,,,
S069,Control,12.46,15.29,13.82,,,,,,,,,
S070,Control,6.64,7.62,5.81,,,,,,,,,
S071,Control,9.04,9.68,7.83,,,,,,,,,
S072,Control,8.34,8.92,7.01,,,,,,,,,
S073,Control,8.58,10.29,8.42,,,,,,,,,
S074,Control,6.88,7.65,4.62,,,,,,,,,
S075,Control,6.83,5.48,5.74,,,,,,,,,
S076,Control,9.57,11.01,9.52,,,,,,,,,
S077,Control,12.29,10.22,8.22,,,,,,,,,
S078,Control,13.09,13.03,11.8,,,,,,,,,
S079,Control,7.77,8.01,6.73,,,,,,,,,
S080,Control,12.78,16.57,15.31,,,,,,,,,
S081,Control,13.88,15.33,11.97,,,,,,,,,
S082,Control,9.29,10.86,8.89,,,,,,,,,
S083,Control,16.81,19.32,18.43,,,,,,,,,
S084,Control,11.73,12.66,11.55,,,,,,,,,
S085,Control,11.59,13.03,11.15,,,,,,,,,
S086,Control,9.53,11.37,9.34,,,,,,,,,
S087,Control,5.04,7.31,6.69,,,,,,,,,
S088,Control,6.18,7.51,5.82,,,,,,,,,
S089,Control,7.9,10.39,10.13,,,,,,,,,
S090,Control,8.56,9.2,7.65,,,,,,,,,
S091,Control,10.14,10.23,7.91,,,,,,,,,
S092,Control,9.64,8.59,8.94,,,,,,,,,
S093,Control,9.47,10.58,9.09,,,,,,,,,
S094,Control,9.44,11.13,8.58,,,,,,,,,
S095,Control,6.94,6.82,6.31,,,,,,,,,
S096,Control,10.16,13.18,12.01,,,,,,,,,
S097,Control,3.75,2.93,2.16,,,,,,,,,
S098,Control,8.22,9.09,7.45,,,,,,,,,
S099,Control,8.78,11.55,10.62,,,,,,,,,
S100,Control,7.52,9.54,9.47,,,,,,,,,
S101,Control,10.4,11.93,10.48,,,,,,,,,
S102,Control,13.15,13.74,10.08,,,,,,,,,
S103,Control,8.98,8.72,7.05,,,,,,,,,
S104,Control,7.02,7.45,5.45,,,,,,,,,
S105,Control,10.78,11.37,8.78,,,,,,,,,
S106,Control,12.16,15.43,13.3,,,,,,,,,
S107,Control,12.64,11.59,10.31,,,,,,,,,
S108,Control,7.51,9.06,8.03,,,,,,,,,
S109,Control,9.12,12.96,11.53,,,,,,,,,
S110,Control,10.45,11.55,9.87,,,,,,,,,
S111,Control,9.51,11.5,8.73,,,,,,,,,
S112,Control,13.29,15.09,12.9,,,,,,,,,
S113,Control,6.85,8.14,5.6,,,,,,,,,
S114,Control,11.49,13.17,10.68,,,,,,,,,
S115,Control,10.63,13.59,11.7,,,,,,,,,
S116,Control,8.68,10.52,11.85,,,,,,,,,
S117,Control,10.38,7.04,7.16,,,,,,,,,
S118,Control,10.54,12.56,12.12,,,,,,,,,
S119,Control,7.86,11.04,9.93,,,,,,,,,
S120,Control,14.66,16.06,14.05,,,,,,,,,
